O.P.,Cantidad,SKU,Descripcion,Lote,Consumo,Folio
571,2,MR20090   ,SET TES DE CHINA                                                                                    ,25013     ,01/2027,316
571,1,MR20091   ,SET TES DE JAPON                                                                                    ,25013     ,01/2027,316
571,1,MR20278   ,ALIGERA-TE                                                                                          ,25013     ,01/2027,316
571,1,MR20281   ,DORMIR-TE                                                                                           ,25013     ,01/2027,316
571,1,MR20285   ,LATA CONMEMORATIVA LUCKY RABBIT                                                                     ,25013     ,01/2027,316
571,1,MR20287   ,SET TETERA MAGICA CON TAZA                                                                          ,25013     ,01/2027,316
571,1,MR20305   ,TEA BOX MOON MILKS                                                                                  ,25013     ,01/2027,316
571,1,MR20324   ,KIT MONARCA 2024                                                                                    ,25013     ,01/2027,316
571,1,TE40000   ,LATA SAMPLE EUROTE ABRIL EN MEXICO                                                                  ,25013     ,01/2027,316
571,2,TE40001   ,LATA SAMPLE EUROTE AMARETTO                                                                         ,25013     ,01/2027,316
571,1,TE40006   ,LATA SAMPLE EUROTE BI LO CHUN                                                                       ,25013     ,01/2027,316
571,1,TE40009   ,LATA SAMPLE EUROTE BLANCO FRESA IMPERIAL                                                            ,25013     ,01/2027,316
571,1,TE40010   ,LATA SAMPLE EUROTE BLANCO ANIVERSARIO                                                               ,25013     ,01/2027,316
571,1,TE40018   ,LATA SAMPLE EUROTE CERO ESTRESS                                                                     ,25013     ,01/2027,316
571,1,TE40031   ,LATA SAMPLE EUROTE DATIL CITRUS                                                                     ,25013     ,01/2027,316
571,1,TE40049   ,LATA SAMPLE EUROTE GOJI BERRY                                                                       ,25013     ,01/2027,316
571,1,TE40061   ,LATA SAMPLE EUROTE HONEY BEE                                                                        ,25013     ,01/2027,316
571,2,TE40064   ,LATA SAMPLE EUROTE HURRICANE                                                                        ,25013     ,01/2027,316
571,1,TE40065   ,LATA SAMPLE EUROTE ICEBREAKER                                                                       ,25013     ,01/2027,316
571,1,TE40066   ,LATA SAMPLE EUROTE JAPAN GARDEN                                                                     ,25013     ,01/2027,316
571,2,TE40070   ,LATA SAMPLE EUROTE JENGIBRE MANDARIN                                                                ,25013     ,01/2027,316
571,1,TE40074   ,LATA SAMPLE EUROTE MANILA                                                                           ,25013     ,01/2027,316
571,1,TE40081   ,LATA SAMPLE EUROTE MEDITACION                                                                       ,25013     ,01/2027,316
571,1,TE40084   ,LATA SAMPLE EUROTE MORAS DE LA SELVA                                                                ,25013     ,01/2027,316
571,3,TE40085   ,LATA SAMPLE EUROTE MOSCU                                                                            ,25013     ,01/2027,316
571,1,TE40086   ,LATA SAMPLE EUROTE MUMBAI                                                                           ,25013     ,01/2027,316
571,1,TE40087   ,LATA SAMPLE EUROTE OMAS GARDEN                                                                      ,25013     ,01/2027,316
571,2,TE40102   ,LATA SAMPLE EUROTE PU ERH CHAI TIBET                                                                ,25013     ,01/2027,316
571,1,TE40110   ,LATA SAMPLE EUROTE PU ERH NEPAL                                                                     ,25013     ,01/2027,316
571,1,TE40134   ,LATA SAMPLE EUROTE TIE KUAN YIN                                                                     ,25013     ,01/2027,316
571,1,TE40137   ,LATA SAMPLE EUROTE TENTACION DIVINA                                                                 ,25013     ,01/2027,316
571,1,TE40140   ,LATA SAMPLE EUROTE ULONG ORQUIDEA                                                                   ,25013     ,01/2027,316
571,1,TE40214   ,LATA SAMPLE EUROTE BLUE OCEAN                                                                       ,25013     ,01/2027,316
571,1,TE40216   ,LATA SAMPLE EUROTE BLUE VELVET                                                                      ,25013     ,01/2027,316
571,1,TE40222   ,LATA SAMPLE EUROTE JENGIBRE LIMON                                                                   ,25013     ,01/2027,316
571,1,TE40364   ,LATA SAMPLE EUROTE MENO TEA                                                                         ,25013     ,01/2027,316
571,2,TE41007   ,LATA MEDIANA EUROTE BLANCO COCO THAI                                                                ,25013     ,01/2027,316
571,1,TE41009   ,LATA MEDIANA EUROTE BLANCO FRESA IMPERIA                                                            ,25013     ,01/2027,316
571,2,TE41064   ,LATA MEDIANA EUROTE HURRICANE                                                                       ,25013     ,01/2027,316
571,2,TE41083   ,LATA MEDIANA EUROTE MILKY ULONG                                                                     ,25013     ,01/2027,316
571,1,TE41114   ,LATA MEDIANA EUROTE RELAX                                                                           ,25013     ,01/2027,316
571,1,TE41118   ,LATA MEDIANA EUROTE ROOIBOS B. VAINILLA                                                             ,25013     ,01/2027,316
571,1,TE41298   ,LATA MEDIANA EUROTE SHOU MEI                                                                        ,25013     ,01/2027,316
571,2,TE41359   ,LATA MEDIANA EUROTE QUIET NIGHT                                                                     ,25013     ,01/2027,316
571,3,TE41365   ,LATA MEDIANA EUROTE BLUE NIGHT                                                                      ,25013     ,01/2027,316
571,2,TE42000   ,BOLSA 100g EUROTE ABRIL EN MEXICO                                                                   ,25013     ,01/2027,316
571,1,TE42002   ,BOLSA 100g EUROTE ARUBA                                                                             ,25013     ,01/2027,316
571,3,TE42009   ,BOLSA 100g EUROTE BLANCO FRESA IMPERIAL                                                             ,25013     ,01/2027,316
571,1,TE42029   ,BOLSA 100g EUROTE DARJEELING                                                                        ,25013     ,01/2027,316
571,1,TE42041   ,BOLSA 100g EUROTE FIREPLACE                                                                         ,25013     ,01/2027,316
571,3,TE42054   ,BOLSA 100g EUROTE GOOD FEELING                                                                      ,25013     ,01/2027,316
571,2,TE42058   ,BOLSA 100g EUROTE GYOKURO JAPAN                                                                     ,25013     ,01/2027,316
571,1,TE42066   ,BOLSA 100g EUROTE JAPAN GARDEN                                                                      ,25013     ,01/2027,316
571,6,TE42083   ,BOLSA 100g EUROTE MILKY ULONG                                                                       ,25013     ,01/2027,316
571,6,TE42094   ,BOLSA 100g EUROTE PARIS                                                                             ,25013     ,01/2027,316
571,3,TE42134   ,BOLSA 100g EUROTE TIE KUAN YIN                                                                      ,25013     ,01/2027,316
571,1,TE42140   ,BOLSA 100g EUROTE ULONG ORQUIDEA                                                                    ,25013     ,01/2027,316
571,1,TE42219   ,BOLSA 100g EUROTE MENTA FRESH                                                                       ,25013     ,01/2027,316
571,4,TE42349   ,BOLSA 100G EUROTE CARBON ACTIVADO                                                                   ,25013     ,01/2027,316
571,1,TE42361   ,BOLSA 100g EUROTE LUCKY RABBIT                                                                      ,25013     ,01/2027,316
571,15,TE43005   ,BOLSA 250g EUROTE BEE ON HAWAII                                                                     ,25013     ,01/2027,316
571,10,TE43007   ,BOLSA 250g EUROTE BLANCO COCO THAI                                                                  ,25013     ,01/2027,316
571,3,TE43009   ,BOLSA 250g EUROTE BLANCO FRESA IMPERIAL                                                             ,25013     ,01/2027,316
571,4,TE43022   ,BOLSA 250g EUROTE CHERRY BANANA                                                                     ,25013     ,01/2027,316
571,1,TE43025   ,BOLSA 250g EUROTE CHOCO MINT                                                                        ,25013     ,01/2027,316
571,3,TE43029   ,BOLSA 250g EUROTE DARJEELING                                                                        ,25013     ,01/2027,316
571,1,TE43031   ,BOLSA 250g EUROTE DATIL CITRUS                                                                      ,25013     ,01/2027,316
571,1,TE43036   ,BOLSA 250g EUROTE DRAGON BLEND                                                                      ,25013     ,01/2027,316
571,1,TE43047   ,BOLSA 250g EUROTE GENMAICHA                                                                         ,25013     ,01/2027,316
571,2,TE43049   ,BOLSA 250g EUROTE GOJI BERRY                                                                        ,25013     ,01/2027,316
571,3,TE43054   ,BOLSA 250g EUROTE GOOD FEELING                                                                      ,25013     ,01/2027,316
571,5,TE43065   ,BOLSA 250g EUROTE ICEBREAKER                                                                        ,25013     ,01/2027,316
571,5,TE43069   ,BOLSA 250g EUROTE JAZMIN PERLAS                                                                     ,25013     ,01/2027,316
571,1,TE43072   ,BOLSA 250g EUROTE LONG JING                                                                         ,25013     ,01/2027,316
571,1,TE43079   ,BOLSA 250g EUROTE MATCHA                                                                            ,25013     ,01/2027,316
571,1,TE43082   ,BOLSA 250g EUROTE MENTA                                                                             ,25013     ,01/2027,316
571,3,TE43083   ,BOLSA 250g EUROTE MILKY ULONG                                                                       ,25013     ,01/2027,316
571,5,TE43085   ,BOLSA 250g EUROTE MOSCU                                                                             ,25013     ,01/2027,316
571,2,TE43098   ,BOLSA 250g EUROTE PASSION ORANGE                                                                    ,25013     ,01/2027,316
571,1,TE43107   ,BOLSA 250g EUROTE PU ERH MENTA                                                                      ,25013     ,01/2027,316
571,5,TE43120   ,BOLSA 250g EUROTE ROOIBOS CHAI                                                                      ,25013     ,01/2027,316
571,3,TE43128   ,BOLSA 250g EUROTE SENCHA GRANADA FRAMBUE                                                            ,25013     ,01/2027,316
571,33,TE43130   ,BOLSA 250g EUROTE SENCHA PERA                                                                       ,25013     ,01/2027,316
571,3,TE43134   ,BOLSA 250g EUROTE TIE KUAN YIN                                                                      ,25013     ,01/2027,316
571,5,TE43138   ,BOLSA 250g EUROTE TURQUIA                                                                           ,25013     ,01/2027,316
571,1,TE43149   ,BOLSA 250g EUROTE YIN ZHEN                                                                          ,25013     ,01/2027,316
571,1,TE43155   ,BOLSA 250g EUROTE  JAZMINE  LOVERS                                                                  ,25013     ,01/2027,316
571,1,TE43156   ,BOLSA 250g EUROTE JASMINE LILY                                                                      ,25013     ,01/2027,316
571,1,TE43159   ,BOLSA 250g EUROTE SWEETHEART                                                                        ,25013     ,01/2027,316
571,4,TE43217   ,BOLSA 250g EUROTE BLUE TANGO                                                                        ,25013     ,01/2027,316
571,2,TE43219   ,BOLSA 250g EUROTE MENTA FRESH                                                                       ,25013     ,01/2027,316
571,2,TE43220   ,BOLSA 250g EUROTE DETOX GREEN                                                                       ,25013     ,01/2027,316
571,2,TE43226   ,BOLSA 250g EUROTE VERDE PIÑA JENGIBRE                                                               ,25013     ,01/2027,316
571,2,TE43227   ,BOLSA 250g EUROTE HANAMI                                                                            ,25013     ,01/2027,316
571,2,TE43238   ,BOLSA 250g EUROTE WINTER LOVE                                                                       ,25013     ,01/2027,316
571,1,TE43328   ,BOLSA 250g EUROTE MOON M MIL Y UNA NOCHE                                                            ,25013     ,01/2027,316
571,1,TE43351   ,BOLSA 250g EUROTE PINK CHAI                                                                         ,25013     ,01/2027,316
571,3,TE43359   ,BOLSA 250g EUROTE QUIET NIGHT                                                                       ,25013     ,01/2027,316
571,2,TE43361   ,BOLSA 250g EUROTE LUCKY RABBIT                                                                      ,25013     ,01/2027,316
571,1,TE44001   ,BOLSA 500g EUROTE AMARETTO                                                                          ,25013     ,01/2027,316
571,1,TE44007   ,BOLSA 500g EUROTE BLANCO COCO THAI                                                                  ,25013     ,01/2027,316
571,1,TE44041   ,BOLSA 500g EUROTE FIREPLACE                                                                         ,25013     ,01/2027,316
571,1,TE44073   ,BOLSA 500g EUROTE MANGO TROPICAL                                                                    ,25013     ,01/2027,316
571,3,TE44077   ,BOLSA 500g EUROTE MANZANILLA / LAVANDA                                                              ,25013     ,01/2027,316
571,2,TE44110   ,BOLSA 500g EUROTE PU ERH NEPAL                                                                      ,25013     ,01/2027,316
571,3,TE44113   ,BOLSA 500g EUROTE RASPBERRY DREAM                                                                   ,25013     ,01/2027,316
571,2,TE44115   ,BOLSA 500g EUROTE ROOIBOS                                                                           ,25013     ,01/2027,316
571,2,TE44151   ,BOLSA 500g EUROTE ZURICH                                                                            ,25013     ,01/2027,316
571,3,TE44217   ,BOLSA 500g EUROTE BLUE TANGO                                                                        ,25013     ,01/2027,316
571,2,TE44220   ,BOLSA 500g EUROTE DETOX GREEN                                                                       ,25013     ,01/2027,316
571,2,TE44328   ,BOLSA 500g EUROTE MOON M MIL Y UNA NOCHE                                                            ,25013     ,01/2027,316
571,2,TE45000   ,BOLSA 1k EUROTE ABRIL EN MEXICO                                                                     ,25013     ,01/2027,316
571,12,TE45001   ,BOLSA 1k EUROTE AMARETTO                                                                            ,25013     ,01/2027,316
571,3,TE45002   ,BOLSA 1k EUROTE ARUBA                                                                               ,25013     ,01/2027,316
571,16,TE45015   ,BOLSA 1k EUROTE BORA BORA                                                                           ,25013     ,01/2027,316
571,1,TE45035   ,BOLSA 1k EUROTE DURAZNO                                                                             ,25013     ,01/2027,316
571,1,TE45036   ,BOLSA 1k EUROTE DRAGON BLEND                                                                        ,25013     ,01/2027,316
571,1,TE45038   ,BOLSA 1k EUROTE ENGLISH BREAKFAST                                                                   ,25013     ,01/2027,316
571,2,TE45040   ,BOLSA 1k EUROTE FANTASIA TROPICAL                                                                   ,25013     ,01/2027,316
571,5,TE45041   ,BOLSA 1k EUROTE FIREPLACE                                                                           ,25013     ,01/2027,316
571,1,TE45042   ,BOLSA 1k EUROTE FIT & FUN                                                                           ,25013     ,01/2027,316
571,3,TE45043   ,BOLSA 1k EUROTE FLORIDA FRUITS                                                                      ,25013     ,01/2027,316
571,1,TE45049   ,BOLSA 1k EUROTE GOJI BERRY                                                                          ,25013     ,01/2027,316
571,7,TE45070   ,BOLSA 1k EUROTE JENGIBRE MANDARIN                                                                   ,25013     ,01/2027,316
571,6,TE45082   ,BOLSA 1k EUROTE MENTA                                                                               ,25013     ,01/2027,316
571,2,TE45093   ,BOLSA 1k EUROTE PAPANTLA                                                                            ,25013     ,01/2027,316
571,12,TE45095   ,BOLSA 1k EUROTE PONCHE DE GUAYABA                                                                   ,25013     ,01/2027,316
571,10,TE45098   ,BOLSA 1k EUROTE PASSION ORANGE                                                                      ,25013     ,01/2027,316
571,18,TE45099   ,BOLSA 1k EUROTE PIÑA COLADA                                                                         ,25013     ,01/2027,316
571,1,TE45102   ,BOLSA 1k EUROTE PU ERH CHAI TIBET                                                                   ,25013     ,01/2027,316
571,2,TE45107   ,BOLSA 1k EUROTE PU ERH MENTA                                                                        ,25013     ,01/2027,316
571,1,TE45115   ,BOLSA 1k EUROTE ROOIBOS                                                                             ,25013     ,01/2027,316
571,1,TE45136   ,BOLSA 1k EUROTE TEMPLE OF HEAVEN                                                                    ,25013     ,01/2027,316
571,1,TE45137   ,BOLSA 1k EUROTE TENTACION DIVINA                                                                    ,25013     ,01/2027,316
571,1,TE45226   ,BOLSA 1k EUROTE VERDE PIÑA JENGIBRE                                                                 ,25013     ,01/2027,316
571,2,TE45334   ,BOLSA 1k EUROTE ROOIBOS CINNABON                                                                    ,25013     ,01/2027,316
571,7,TS50011   ,CAJA 50 TEANGLE VERDE CHAMPAGNE                                                                     ,25013     ,01/2027,316
571,3,TS50014   ,CAJA 50 TEANGLE EARL GREY                                                                           ,25013     ,01/2027,316
571,17,TS50016   ,CAJA 50 TEANGLE MANZANILLA LAVANDA                                                                  ,25013     ,01/2027,316
571,14,TS50017   ,CAJA 50 TEANGLE RELAX                                                                               ,25013     ,01/2027,316
571,2,TS50020   ,CAJA 50 TEANGLE FRESA KIWI                                                                          ,25013     ,01/2027,316
571,18,TS50022   ,CAJA 50 TEANGLE FRUTA CARIBEÑA                                                                      ,25013     ,01/2027,316
